date,flowering,lat,long
2020-07-16,Yes,43.595163,-116.233449
2020-07-07,Yes,43.594699,-116.23249
2020-06-30,Yes,43.594801,-116.237126
2020-06-30,Yes,43.592457,-116.237583
2020-06-30,Yes,43.592501,-116.237605
2020-06-30,Yes,43.595129,-116.236961
2020-06-30,Yes,43.594569,-116.233154
2020-06-30,Yes,43.595268,-116.231243
2020-06-25,Yes,43.594249,-116.237085
2020-06-25,Yes,43.591886,-116.237408
2020-06-25,Yes,43.591845,-116.237389
2020-06-25,Yes,43.591863,-116.237412
2020-06-25,Yes,43.591895,-116.237426
